Vreme;IdZadatka;Segment;Algoritam;DuzinaPuta;PosecenihCvorova;VremeMs;Izabran;SirinaLavirinta;VisinaLavirinta;BrojAktivnihVozila;BrojAktivnihZadataka
2026-08-10 20:12:36;9;Vozilo->Klijent;BFS;9;35;0.0428;True;8;8;1;0
2026-08-10 20:12:36;9;Vozilo->Klijent;Dijkstra;9;30;0.1008;False;8;8;1;0
2026-08-10 20:12:36;9;Vozilo->Klijent;A*;9;21;0.0750;False;8;8;1;0
2026-08-10 20:12:36;9;Klijent->Odrediste;BFS;6;23;0.0278;True;8;8;1;0
2026-08-10 20:12:36;9;Klijent->Odrediste;Dijkstra;6;20;0.0595;False;8;8;1;0
2026-08-10 20:12:36;9;Klijent->Odrediste;A*;6;12;0.0357;False;8;8;1;0
2026-08-10 20:12:59;10;Vozilo->Klijent;BFS;6;25;0.0624;False;8;8;1;0
2026-08-10 20:12:59;10;Vozilo->Klijent;Dijkstra;6;21;0.0806;False;8;8;1;0
2026-08-10 20:12:59;10;Vozilo->Klijent;A*;6;12;0.0429;True;8;8;1;0
2026-08-10 20:12:59;10;Klijent->Odrediste;BFS;9;45;0.3522;False;8;8;1;0
2026-08-10 20:12:59;10;Klijent->Odrediste;Dijkstra;9;36;0.1276;False;8;8;1;0
2026-08-10 20:12:59;10;Klijent->Odrediste;A*;9;20;0.0640;True;8;8;1;0
2026-08-10 20:14:02;11;Vozilo->Klijent;BFS;5;16;0.0227;True;8;8;1;0
2026-08-10 20:14:02;11;Vozilo->Klijent;Dijkstra;5;14;0.0485;False;8;8;1;0
2026-08-10 20:14:02;11;Vozilo->Klijent;A*;5;9;0.0308;False;8;8;1;0
2026-08-10 20:14:02;11;Klijent->Odrediste;BFS;4;16;0.0163;True;8;8;1;0
2026-08-10 20:14:02;11;Klijent->Odrediste;Dijkstra;4;11;0.0332;False;8;8;1;0
2026-08-10 20:14:02;11;Klijent->Odrediste;A*;4;7;0.0191;False;8;8;1;0
2026-08-10 20:14:21;12;Vozilo->Klijent;BFS;5;20;0.0246;True;8;8;1;0
2026-08-10 20:14:21;12;Vozilo->Klijent;Dijkstra;5;16;0.0602;False;8;8;1;0
2026-08-10 20:14:21;12;Vozilo->Klijent;A*;5;9;0.0331;False;8;8;1;0
2026-08-10 20:14:21;12;Klijent->Odrediste;BFS;8;32;0.0408;False;8;8;1;0
2026-08-10 20:14:21;12;Klijent->Odrediste;Dijkstra;8;28;0.0874;False;8;8;1;0
2026-08-10 20:14:21;12;Klijent->Odrediste;A*;8;13;0.0395;True;8;8;1;0
2026-08-10 20:14:44;13;Vozilo->Klijent;BFS;8;33;0.0466;True;8;8;1;0
2026-08-10 20:14:44;13;Vozilo->Klijent;Dijkstra;8;31;0.1038;False;8;8;1;0
2026-08-10 20:14:44;13;Vozilo->Klijent;A*;8;17;0.0605;False;8;8;1;0
2026-08-10 20:14:44;13;Klijent->Odrediste;BFS;12;63;0.0849;True;8;8;1;0
2026-08-10 20:14:44;13;Klijent->Odrediste;Dijkstra;12;61;0.2037;False;8;8;1;0
2026-08-10 20:14:44;13;Klijent->Odrediste;A*;12;44;0.2121;False;8;8;1;0
2026-08-10 20:37:38;0;Vozilo->Klijent;BFS;30;223;0.4332;True;15;15;1;0
2026-08-10 20:37:38;0;Vozilo->Klijent;Dijkstra;30;223;1.5095;False;15;15;1;0
2026-08-10 20:37:38;0;Vozilo->Klijent;A*;30;157;1.3148;False;15;15;1;0
2026-08-10 20:37:38;0;Klijent->Odrediste;BFS;35;87;0.1690;True;15;15;1;0
2026-08-10 20:37:38;0;Klijent->Odrediste;Dijkstra;35;84;0.4081;False;15;15;1;0
2026-08-10 20:37:38;0;Klijent->Odrediste;A*;35;62;0.3697;False;15;15;1;0
2026-08-10 20:38:51;1;Vozilo->Klijent;BFS;4;33;0.0377;False;15;15;1;0
2026-08-10 20:38:51;1;Vozilo->Klijent;Dijkstra;4;24;0.1137;False;15;15;1;0
2026-08-10 20:38:51;1;Vozilo->Klijent;A*;4;6;0.0253;True;15;15;1;0
2026-08-10 20:38:51;1;Klijent->Odrediste;BFS;14;162;0.2193;True;15;15;1;0
2026-08-10 20:38:51;1;Klijent->Odrediste;Dijkstra;14;151;0.9035;False;15;15;1;0
2026-08-10 20:38:51;1;Klijent->Odrediste;A*;14;43;0.2397;False;15;15;1;0
2026-08-10 20:39:42;2;Vozilo->Klijent;BFS;24;149;0.1962;True;15;15;1;0
2026-08-10 20:39:42;2;Vozilo->Klijent;Dijkstra;24;142;0.8392;False;15;15;1;0
2026-08-10 20:39:42;2;Vozilo->Klijent;A*;24;108;0.8179;False;15;15;1;0
2026-08-10 20:39:42;2;Klijent->Odrediste;BFS;31;206;0.2885;True;15;15;1;0
2026-08-10 20:39:42;2;Klijent->Odrediste;Dijkstra;31;205;1.1456;False;15;15;1;0
2026-08-10 20:39:42;2;Klijent->Odrediste;A*;31;171;1.0727;False;15;15;1;0
2026-08-10 20:40:38;3;Vozilo->Klijent;BFS;22;76;0.0947;True;15;15;1;0
2026-08-10 20:40:38;3;Vozilo->Klijent;Dijkstra;22;66;0.2291;False;15;15;1;0
2026-08-10 20:40:38;3;Vozilo->Klijent;A*;22;38;0.1167;False;15;15;1;0
2026-08-10 20:40:38;3;Klijent->Odrediste;BFS;34;223;0.3087;True;15;15;1;0
2026-08-10 20:40:38;3;Klijent->Odrediste;Dijkstra;34;223;1.5238;False;15;15;1;0
2026-08-10 20:40:38;3;Klijent->Odrediste;A*;34;192;0.9072;False;15;15;1;0
2026-08-10 20:41:41;4;Vozilo->Klijent;BFS;55;224;0.3472;True;15;15;1;0
2026-08-10 20:41:41;4;Vozilo->Klijent;Dijkstra;55;222;1.8616;False;15;15;1;0
2026-08-10 20:41:41;4;Vozilo->Klijent;A*;55;168;0.8196;False;15;15;1;0
2026-08-10 20:41:41;4;Klijent->Odrediste;BFS;21;128;0.1694;True;15;15;1;0
2026-08-10 20:41:41;4;Klijent->Odrediste;Dijkstra;21;122;0.5142;False;15;15;1;0
2026-08-10 20:41:41;4;Klijent->Odrediste;A*;21;75;0.3465;False;15;15;1;0
2026-08-10 20:42:58;5;Vozilo->Klijent;BFS;7;38;0.0478;True;15;15;1;0
2026-08-10 20:42:58;5;Vozilo->Klijent;Dijkstra;7;30;0.1268;False;15;15;1;0
2026-08-10 20:42:58;5;Vozilo->Klijent;A*;7;15;0.1951;False;15;15;1;0
2026-08-10 20:42:58;5;Klijent->Odrediste;BFS;10;104;0.1438;False;15;15;1;0
2026-08-10 20:42:58;5;Klijent->Odrediste;Dijkstra;10;92;0.4939;False;15;15;1;0
2026-08-10 20:42:58;5;Klijent->Odrediste;A*;10;13;0.0625;True;15;15;1;0
2026-08-10 20:43:29;6;Vozilo->Klijent;BFS;15;142;0.7138;False;15;15;1;0
2026-08-10 20:43:29;6;Vozilo->Klijent;Dijkstra;15;134;0.7533;False;15;15;1;0
2026-08-10 20:43:29;6;Vozilo->Klijent;A*;15;40;0.1819;True;15;15;1;0
2026-08-10 20:43:29;6;Klijent->Odrediste;BFS;48;217;0.2976;True;15;15;1;0
2026-08-10 20:43:29;6;Klijent->Odrediste;Dijkstra;48;216;0.8366;False;15;15;1;0
2026-08-10 20:43:29;6;Klijent->Odrediste;A*;48;215;1.1555;False;15;15;1;0
2026-08-10 20:44:42;7;Vozilo->Klijent;BFS;47;212;0.2894;True;15;15;1;0
2026-08-10 20:44:42;7;Vozilo->Klijent;Dijkstra;47;206;1.1115;False;15;15;1;0
2026-08-10 20:44:42;7;Vozilo->Klijent;A*;47;132;0.4952;False;15;15;1;0
2026-08-10 20:44:42;7;Klijent->Odrediste;BFS;24;154;0.2282;True;15;15;1;0
2026-08-10 20:44:42;7;Klijent->Odrediste;Dijkstra;24;144;0.5563;False;15;15;1;0
2026-08-10 20:44:42;7;Klijent->Odrediste;A*;24;69;0.3143;False;15;15;1;0
2026-08-10 20:45:51;8;Vozilo->Klijent;BFS;30;222;0.3483;True;15;15;1;0
2026-08-10 20:45:51;8;Vozilo->Klijent;Dijkstra;30;222;1.4636;False;15;15;1;0
2026-08-10 20:45:51;8;Vozilo->Klijent;A*;30;155;0.7376;False;15;15;1;0
2026-08-10 20:45:51;8;Klijent->Odrediste;BFS;36;95;0.1265;True;15;15;1;0
2026-08-10 20:45:51;8;Klijent->Odrediste;Dijkstra;36;90;0.2658;False;15;15;1;0
2026-08-10 20:45:51;8;Klijent->Odrediste;A*;36;81;0.3161;False;15;15;1;0
2026-08-10 20:56:11;0;Vozilo->Klijent;BFS;37;223;0.1622;True;15;15;1;0
2026-08-10 20:56:11;0;Vozilo->Klijent;Dijkstra;37;223;0.8313;False;15;15;1;0
2026-08-10 20:56:11;0;Vozilo->Klijent;A*;37;209;0.7412;False;15;15;1;0
2026-08-10 20:56:11;0;Klijent->Odrediste;BFS;45;147;0.0999;True;15;15;1;0
2026-08-10 20:56:11;0;Klijent->Odrediste;Dijkstra;45;141;0.3225;False;15;15;1;0
2026-08-10 20:56:11;0;Klijent->Odrediste;A*;45;110;0.2893;False;15;15;1;0
2026-08-10 20:57:36;1;Vozilo->Klijent;BFS;10;42;0.0520;True;15;15;1;0
2026-08-10 20:57:36;1;Vozilo->Klijent;Dijkstra;10;35;0.1271;False;15;15;1;0
2026-08-10 20:57:36;1;Vozilo->Klijent;A*;10;15;0.0531;False;15;15;1;0
2026-08-10 20:57:36;1;Klijent->Odrediste;BFS;19;197;0.2962;False;15;15;1;0
2026-08-10 20:57:36;1;Klijent->Odrediste;Dijkstra;19;192;1.4612;False;15;15;1;0
2026-08-10 20:57:36;1;Klijent->Odrediste;A*;19;47;0.2086;True;15;15;1;0
2026-08-10 20:58:14;2;Vozilo->Klijent;BFS;21;82;0.1414;False;15;15;1;0
2026-08-10 20:58:14;2;Vozilo->Klijent;Dijkstra;21;74;0.3220;False;15;15;1;0
2026-08-10 20:58:14;2;Vozilo->Klijent;A*;21;37;0.1181;True;15;15;1;0
2026-08-10 20:58:14;2;Klijent->Odrediste;BFS;13;143;0.1818;False;15;15;1;0
2026-08-10 20:58:14;2;Klijent->Odrediste;Dijkstra;13;124;0.8947;False;15;15;1;0
2026-08-10 20:58:14;2;Klijent->Odrediste;A*;13;26;0.1744;True;15;15;1;0
2026-08-10 20:58:59;3;Vozilo->Klijent;BFS;24;194;0.6205;False;15;15;1;0
2026-08-10 20:58:59;3;Vozilo->Klijent;Dijkstra;24;191;1.0168;False;15;15;1;0
2026-08-10 20:58:59;3;Vozilo->Klijent;A*;24;75;0.4069;True;15;15;1;0
2026-08-10 20:58:59;3;Klijent->Odrediste;BFS;6;26;0.0320;False;15;15;1;0
2026-08-10 20:58:59;3;Klijent->Odrediste;Dijkstra;6;20;0.0664;False;15;15;1;0
2026-08-10 20:58:59;3;Klijent->Odrediste;A*;6;9;0.0298;True;15;15;1;0
2026-08-10 20:59:39;4;Vozilo->Klijent;BFS;27;215;0.3239;True;15;15;1;0
2026-08-10 20:59:39;4;Vozilo->Klijent;Dijkstra;27;208;0.9527;False;15;15;1;0
2026-08-10 20:59:39;4;Vozilo->Klijent;A*;27;138;0.9588;False;15;15;1;0
2026-08-10 20:59:39;4;Klijent->Odrediste;BFS;17;53;0.0703;True;15;15;1;0
2026-08-10 20:59:39;4;Klijent->Odrediste;Dijkstra;17;49;0.1492;False;15;15;1;0
2026-08-10 20:59:39;4;Klijent->Odrediste;A*;17;36;0.1135;False;15;15;1;0
2026-08-10 21:00:34;5;Vozilo->Klijent;BFS;5;38;0.0472;True;15;15;1;0
2026-08-10 21:00:34;5;Vozilo->Klijent;Dijkstra;5;30;0.1980;False;15;15;1;0
2026-08-10 21:00:34;5;Vozilo->Klijent;A*;5;9;0.0570;False;15;15;1;0
2026-08-10 21:00:34;5;Klijent->Odrediste;BFS;9;65;0.1910;False;15;15;1;0
2026-08-10 21:00:34;5;Klijent->Odrediste;Dijkstra;9;55;0.3588;False;15;15;1;0
2026-08-10 21:00:34;5;Klijent->Odrediste;A*;9;20;0.1213;True;15;15;1;0
2026-08-10 21:01:08;6;Vozilo->Klijent;BFS;19;165;0.2167;True;15;15;1;0
2026-08-10 21:01:08;6;Vozilo->Klijent;Dijkstra;19;158;0.8174;False;15;15;1;0
